HP_name;PlotID_2;PAG;Precision;Center_x_coordinate;Center_y_coordinate;Date;Year;Canton;Municipality;Altitude_original;Species_richness;SqFt_ID;F;R;N;L;T;K;Nr_cuts;Nr_cuts_before_record;Soil;Content_of_Ca;Bedrock;Light_cond;Water_balance;Inclination;Exposition;Fertil_y_n;Fertil_frequ;Fertil_type;Fertil_treatment;Land_use;Land_use_2;Grazing_animal;EUNIS_class;EUNIS_habitat name;Type_of_classification;Total_biomass;vegetation type;Class (Mucina et al. 2016);Order (Mucina et al. 2016)
HP_461;461;461;519.2356115;8.656313521;47.4578499;18.06.1887;1887;ZH;Kloten;560;33;461;2.95;3.212121212;3.366666667;3.787878788;3.333333333;3.172413793;;;clay;;;;;;;yes;;stable manure;;meadow;meadow;;R22; Low and medium altitude hay meadow;1;NA;B.3 Mesic grasslands;Molinio-Arrhenatheretea;Arrhenatheretalia elatioris
HP_462;462;462;285.3949382;8.436487782;47.24002224;10.06.1894;1894;ZH;Knonau;455;12;462;4.090909091;1.7;1.636363636;3.909090909;2.954545455;2.636363636;;;bog soil;;;;wet;;;no;;;;litter meadow;meadow;;;;1;17.41;;;
HP_463;463;463;246.7605213;8.471270368;47.21768251;15.09.1895;1895;ZH;Knonau;444;12;463;3.611111111;3.4;2.3;3.818181818;2.85;3.1;;;;;;;;;;;;;;litter meadow;meadow;;;;;23.732;;;
HP_464;464;464;858.3749047;8.649548974;47.62341728;25.06.1886;1886;ZH;Marthalen;390;24;464;3;3.130434783;3.347826087;3.782608696;3.214285714;3.090909091;;;;;;;not irrigated;;;yes;;;;meadow;meadow;;R22; Low and medium altitude hay meadow;1;39.879;B.3 Mesic grasslands;Molinio-Arrhenatheretea;Arrhenatheretalia elatioris
HP_465;465;465;588.8124836;8.634949871;47.61732643;19.06.1886;1886;ZH;Marthalen;375;13;465;2.291666667;3.333333333;2.75;3.846153846;3.333333333;3.4;;;shallow, sandy loam and nearly pure gravel;3;;;not irrigated;;;;;;;irrigated meadow;meadow;;R1A; Semi-dry perennial calcareous grassland (meadow steppe);1;24.932;B.2 Meso-xeric grasslands;Festuco-Brometea;Brachypodietalia pinnati
HP_466;466;465;588.8124836;8.634949871;47.61732643;19.06.1886;1886;ZH;Marthalen;375;30;466;2.892857143;3.24137931;3.285714286;3.689655172;3.34;3.185185185;2;;shallow, sandy loam and nearly pure gravel;3;;;irrigated;;;no;;;;irrigated meadow;meadow;;R22; Low and medium altitude hay meadow;1;34.483;B.3 Mesic grasslands;Molinio-Arrhenatheretea;Arrhenatheretalia elatioris
HP_467;467;467;172.8362777;8.43347499;47.23890113;10.06.1894;1894;ZH;Maschwanden;450;13;467;2.875;3.166666667;2.666666667;3.384615385;3.318181818;3;;;poor clay;;;;dry;;;;;;;litter meadow;meadow;;R1A; Semi-dry perennial calcareous grassland (meadow steppe);1;16.207;B.2 Meso-xeric grasslands;Festuco-Brometea;Brachypodietalia pinnati
HP_468;468;468;911.8329175;8.407838282;47.2319045;12.06.1894;1894;ZH;Maschwanden;392;6;468;4.333333333;3.2;3;3.666666667;3.333333333;2.833333333;;;60cm alluvium;;;;fresh;;;no;;;;;;;Qb;;1;20.912;;;
HP_469;469;469;270.8729645;8.652076543;47.49145577;30.06.1887;1887;ZH;Oberembrach;630;24;469;3;3;3;3.636363636;3.105263158;3.05;;;;;;;;;;;;;;meadow;meadow;;R21; Mesic permanent pasture of lowlands and mountains;2;61.349;B.3 Mesic grasslands;Molinio-Arrhenatheretea;Poo alpinae-Trisetetalia
HP_470;470;470;155.7380832;8.562905374;47.26994026;27.06.1895;1895;ZH;Oberrieden;580;15;470;3.857142857;3.214285714;2.133333333;3.933333333;2.966666667;2.866666667;;;bog soil ;1;;;;;;;;;;litter meadow;meadow;;;;1;28.166;;;
HP_471;471;471;152.2690661;8.549312534;47.37871888;23.06.1884;1884;ZH;Oberstrass;460;17;471;3.1875;3.125;3.6875;3.6875;3.28125;2.875;;;humus-rich, mild clay;;;;;;;yes;;slurry;;alternating meadow;meadow;;R21; Mesic permanent pasture of lowlands and mountains;1;166;B.3 Mesic grasslands;Molinio-Arrhenatheretea;Poo alpinae-Trisetetalia
